nohup: ignoring input
Java HotSpot(TM) 64-Bit Server VM warning: Using incremental CMS is deprecated and will likely be removed in a future release
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/opt/beh/core/hbase/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/opt/beh/core/hadoop/share/hadoop/common/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
-- -- -*******************************************************************************************************************-- -- -
app日活	pt_days	App	uv	uv-剔除流量卡
app日活	20190708	uc	927721	664587
app日活	20190730	mobbaidu	3217284	2307349
app日活	20190720	wangyi_music	708685	428979
app日活	20190712	others	7877852	5492321
app日活	20190712	toutiao	1179703	900975
app日活	20190713	douyin	3052070	2065579
app日活	20190721	tencent_news	732048	467952
app日活	20190720	tencent_news_lite	15383	9950
app日活	20190706	wangyinews	129536	107811
app日活	20190730	kugou	960358	607910
app日活	20190727	others	7836157	5476223
app日活	20190727	toutiao	2282343	1593372
app日活	20190728	douyin	2934947	1989055
app日活	20190709	uc	928102	664534
app日活	20190731	mobbaidu	3410042	2448903
app日活	20190721	wangyi_music	651424	390998
app日活	20190713	others	7891373	5490874
app日活	20190713	toutiao	1180420	898186
app日活	20190714	douyin	3080775	2079431
app日活	20190722	tencent_news	794724	510528
app日活	20190721	tencent_news_lite	13963	9030
app日活	20190707	wangyinews	114290	95513
app日活	20190731	kugou	974892	617916
app日活	20190720	kuaibao	269115	144401
app日活	20190728	others	7824400	5469413
app日活	20190728	toutiao	2292729	1600345
app日活	20190729	douyin	2923818	1998294
app日活	20190722	wangyi_music	694183	422237
app日活	20190714	others	7846588	5456018
app日活	20190714	toutiao	1154696	876871
app日活	20190715	douyin	3061166	2072951
app日活	20190723	tencent_news	797817	513511
app日活	20190722	tencent_news_lite	15746	10117
app日活	20190708	wangyinews	139826	117131
app日活	20190701	douyin	3007891	2025600
app日活	20190721	kuaibao	237966	127144
app日活	20190729	others	7881909	5530564
app日活	20190729	toutiao	2300697	1623630
app日活	20190720	sina_news	207852	152658
app日活	20190720	ifeng	382156	270554
app日活	20190723	wangyi_music	704205	429081
app日活	20190715	others	8074656	5653663
app日活	20190715	toutiao	2335058	1638251
app日活	20190716	douyin	3013159	2040926
app日活	20190724	tencent_news	787184	504583
app日活	20190723	tencent_news_lite	16708	10812
app日活	20190709	wangyinews	141095	118350
app日活	20190701	others	7977021	5530182
app日活	20190701	toutiao	1054029	825742
app日活	20190702	douyin	351340	178402
app日活	20190710	tencent_news	783342	500137
app日活	20190722	kuaibao	261434	142273
app日活	20190721	sina_news	178320	131493
app日活	20190721	ifeng	339717	240475
app日活	20190724	wangyi_music	702992	427218
app日活	20190716	others	8021889	5618339
app日活	20190716	toutiao	2285890	1609067
app日活	20190717	douyin	2924624	1980881
app日活	20190725	tencent_news	807839	512680
app日活	20190730	qq_music	1063620	604669
app日活	20190720	mobbaidu	3287401	2339913
app日活	20190730	ximalaya	383519	285589
app日活	20190724	tencent_news_lite	15245	9909
app日活	20190710	wangyi_music	581519	352390
app日活	20190702	others	1074668	566254
app日活	20190702	toutiao	109913	73442
app日活	20190703	douyin	3002218	2025983
app日活	20190711	tencent_news	591169	378961
app日活	20190723	kuaibao	262327	142742
app日活	20190722	sina_news	212372	157904
app日活	20190722	ifeng	363169	256669
app日活	20190720	kugou	1000258	629835
app日活	20190725	wangyi_music	701227	425121
app日活	20190717	others	7973555	5586906
app日活	20190717	toutiao	2198474	1550065
app日活	20190718	douyin	2966114	2013814
app日活	20190726	tencent_news	825867	527859
app日活	20190731	qq_music	1070783	611917
app日活	20190721	mobbaidu	2983892	2122702
app日活	20190731	ximalaya	388186	289076
app日活	20190725	tencent_news_lite	15992	10207
app日活	20190711	wangyi_music	440739	266011
app日活	20190703	others	7875871	5464230
app日活	20190703	toutiao	1097401	850202
app日活	20190704	douyin	3097657	2096296
app日活	20190712	tencent_news	806634	518854
app日活	20190724	kuaibao	256188	139534
app日活	20190723	sina_news	220238	163870
app日活	20190723	ifeng	357492	255649
app日活	20190730	sohu_news	77743	60311
app日活	20190721	kugou	942549	590041
app日活	20190710	kuaibao	263593	140315
app日活	20190726	wangyi_music	717210	437737
app日活	20190718	others	7912132	5558080
app日活	20190718	toutiao	2225300	1570858
app日活	20190719	douyin	2848528	1928367
app日活	20190727	tencent_news	812950	511479
app日活	20190722	mobbaidu	3262637	2332682
app日活	20190726	tencent_news_lite	16815	10772
app日活	20190712	wangyi_music	606132	370127
app日活	20190704	others	7957172	5525916
app日活	20190704	toutiao	1164252	891728
app日活	20190705	douyin	2873708	1936404
app日活	20190713	tencent_news	794661	506215
app日活	20190725	kuaibao	255031	138228
app日活	20190724	sina_news	214088	159525
app日活	20190724	ifeng	338489	241938
app日活	20190731	sohu_news	80181	62562
app日活	20190722	kugou	978234	617832
app日活	20190711	kuaibao	195894	103673
app日活	20190727	wangyi_music	697912	419731
app日活	20190719	others	7751641	5437435
app日活	20190719	toutiao	2159144	1529215
app日活	20190728	tencent_news	826592	522529
app日活	20190710	sina_news	210429	157080
app日活	20190710	ifeng	342636	242692
app日活	20190723	mobbaidu	3332128	2386842
app日活	20190727	tencent_news_lite	16038	10095
app日活	20190713	wangyi_music	595990	359949
app日活	20190705	others	7749926	5367677
app日活	20190705	toutiao	1051140	811873
app日活	20190706	douyin	3024312	2036299
app日活	20190714	tencent_news	806083	505887
app日活	20190726	kuaibao	257841	140890
app日活	20190725	sina_news	220477	163217
app日活	20190725	ifeng	358672	254595
app日活	20190723	kugou	974650	616041
app日活	20190712	kuaibao	274472	148429
app日活	20190728	wangyi_music	696336	417975
app日活	20190729	tencent_news	814556	523368
app日活	20190711	sina_news	140913	105793
app日活	20190711	ifeng	233363	165312
app日活	20190724	mobbaidu	3279984	2349144
app日活	20190728	tencent_news_lite	16090	10312
app日活	20190714	wangyi_music	586641	352251
app日活	20190706	others	7844853	5436383
app日活	20190706	toutiao	1135078	862428
app日活	20190707	douyin	2880252	1947327
app日活	20190715	tencent_news	835863	537421
app日活	20190720	qq_music	985295	542106
app日活	20190727	kuaibao	248968	134117
app日活	20190726	sina_news	216166	161295
app日活	20190710	mobbaidu	3182131	2267841
app日活	20190720	ximalaya	391846	290624
app日活	20190726	ifeng	372142	266421
app日活	20190724	kugou	962063	607263
app日活	20190701	tencent_news	849959	537487
app日活	20190730	kuwo	331569	219697
app日活	20190713	kuaibao	271315	144403
app日活	20190729	wangyi_music	730312	446579
app日活	20190712	sina_news	215545	161011
app日活	20190712	ifeng	344835	245315
app日活	20190710	kugou	965903	603083
app日活	20190725	mobbaidu	3303222	2360322
