nohup: ignoring input
Java HotSpot(TM) 64-Bit Server VM warning: Using incremental CMS is deprecated and will likely be removed in a future release
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/opt/beh/core/hbase/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/opt/beh/core/hadoop/share/hadoop/common/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
-- -- -*******************************************************************************************************************-- -- -
app日活	pt_days	App	uv	uv-剔除流量卡
app日活	20190915	uc	1038850	797583
app日活	20190920	douyin	1	1
app日活	20190906	kuwo	20619	12886
app日活	20190916	uc	1069624	826918
app日活	20190920	others	9348474	7119968
app日活	20190920	toutiao	1288602	1051666
app日活	20190907	kuwo	21037	13160
app日活	20190917	uc	1094184	847685
app日活	20190921	others	9360543	7115457
app日活	20190921	toutiao	1278025	1039348
app日活	20190930	tencent_news	546625	411865
app日活	20190908	kuwo	21325	13132
app日活	20190918	uc	1094733	846499
app日活	20190930	wangyi_music	898796	614158
app日活	20190922	others	9348548	7097955
app日活	20190922	toutiao	1266281	1031055
app日活	20190909	kuwo	21243	13251
app日活	20190919	uc	1097356	850443
app日活	20190923	others	9330480	7107736
app日活	20190923	toutiao	1313815	1070277
app日活	20190924	others	8208931	6167712
app日活	20190924	toutiao	2682217	2021091
app日活	20190910	others	7583101	5261223
app日活	20190910	toutiao	1180706	914119
app日活	20190925	others	8172318	6143745
app日活	20190925	toutiao	2631776	1985813
app日活	20190907	uc	205181	122990
app日活	20190911	others	7611665	5283174
app日活	20190911	toutiao	1194904	928669
app日活	20190920	tencent_news	654941	490898
app日活	20190926	others	9347613	7136712
app日活	20190926	toutiao	2611145	1973807
app日活	20190908	uc	199950	119549
app日活	20190930	mobbaidu	3734474	2846893
app日活	20190920	wangyi_music	872331	596011
app日活	20190912	others	7693015	5331571
app日活	20190912	toutiao	1207099	932207
app日活	20190921	tencent_news	631258	472461
app日活	20190930	kugou	1177129	825857
app日活	20190927	others	8538885	6501937
app日活	20190927	toutiao	2406274	1814798
app日活	20190909	uc	206204	124930
app日活	20190921	wangyi_music	878234	597112
app日活	20190913	others	7481197	5153933
app日活	20190913	toutiao	1137216	876388
app日活	20190922	tencent_news	627271	467585
app日活	20190928	others	9354342	7133560
app日活	20190928	toutiao	2647548	1998187
app日活	20190922	wangyi_music	876973	594026
app日活	20190914	others	7351132	5053848
app日活	20190914	toutiao	1123251	864944
app日活	20190923	tencent_news	619914	465432
app日活	20190929	others	9364370	7148692
app日活	20190929	toutiao	2734974	2059954
app日活	20190923	wangyi_music	858048	586019
app日活	20190915	others	7890085	5842752
app日活	20190915	toutiao	1204935	983026
app日活	20190924	tencent_news	645325	484771
app日活	20190901	others	6720915	4544271
app日活	20190910	tencent_news	606942	421132
app日活	20190924	wangyi_music	899904	623458
app日活	20190916	others	7942933	5917101
app日活	20190916	toutiao	1280510	1041427
app日活	20190925	tencent_news	640246	484008
app日活	20190930	qq_music	1178223	731164
app日活	20190920	mobbaidu	3894162	2981328
app日活	20190930	ximalaya	534589	400694
app日活	20190910	wangyi_music	775517	480472
app日活	20190902	others	6840421	4673083
app日活	20190911	tencent_news	606905	423821
app日活	20190920	kugou	1068239	747240
app日活	20190925	wangyi_music	903199	628945
app日活	20190917	others	8006412	5986056
app日活	20190917	toutiao	1293123	1052332
app日活	20190918	douyin	1	1
app日活	20190926	tencent_news	617459	463687
app日活	20190921	mobbaidu	3937426	2997138
app日活	20190911	wangyi_music	792147	490651
app日活	20190903	others	6845709	4686842
app日活	20190912	tencent_news	593266	414934
app日活	20190921	kugou	1102261	768076
