nohup: ignoring input
Java HotSpot(TM) 64-Bit Server VM warning: Using incremental CMS is deprecated and will likely be removed in a future release
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/opt/beh/core/hbase/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/opt/beh/core/hadoop/share/hadoop/common/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
-- -- -*******************************************************************************************************************-- -- -
app日活	pt_days	App	uv	uv-剔除流量卡
app日活	20190809	kuwo	369964	242680
app日活	20190830	tencent_news_lite	10874	6622
app日活	20190816	wangyinews	498065	363906
app日活	20190819	uc	938016	669943
app日活	20190802	wangyinews	534119	386215
app日活	20190831	wangyi_music	728699	436632
app日活	20190823	others	7949110	5526856
app日活	20190823	toutiao	2364002	1653499
app日活	20190824	douyin	2732463	1853084
app日活	20190805	uc	967108	690639
app日活	20190817	wangyinews	477039	344548
app日活	20190810	douyin	2892000	1963358
app日活	20190830	kuaibao	172026	92889
app日活	20190803	wangyinews	558589	400627
app日活	20190824	others	7674496	5310376
app日活	20190824	toutiao	2124802	1484952
app日活	20190825	douyin	2929357	1982026
app日活	20190806	uc	1005996	717811
app日活	20190818	wangyinews	484989	349822
app日活	20190810	others	7740726	5346480
app日活	20190810	toutiao	2320204	1620065
app日活	20190811	douyin	3176641	2150825
app日活	20190830	sina_news	163553	119823
app日活	20190830	ifeng	237509	167641
app日活	20190804	wangyinews	535564	379243
app日活	20190825	others	7865637	5447280
app日活	20190825	toutiao	2381564	1650028
app日活	20190826	douyin	2898028	1964085
app日活	20190807	uc	980016	700738
app日活	20190819	wangyinews	470004	343749
app日活	20190811	others	7997262	5517399
app日活	20190811	toutiao	2586766	1794237
app日活	20190812	douyin	3057135	2068095
app日活	20190820	tencent_news	791512	504870
app日活	20190805	wangyinews	531571	383100
app日活	20190826	others	7934967	5513966
app日活	20190826	toutiao	2375181	1651381
app日活	20190827	douyin	2883709	1954034
app日活	20190808	uc	995967	708082
app日活	20190830	mobbaidu	2762396	1971582
app日活	20190820	wangyi_music	742869	450794
app日活	20190812	others	8047737	5573476
app日活	20190812	toutiao	2472858	1723942
app日活	20190813	douyin	3087052	2104721
app日活	20190821	tencent_news	795147	509945
app日活	20190820	tencent_news_lite	14458	8959
app日活	20190806	wangyinews	504240	365592
app日活	20190830	kugou	843440	535833
app日活	20190827	others	7927891	5506998
app日活	20190827	toutiao	2394422	1669550
app日活	20190828	douyin	2867272	1940124
app日活	20190809	uc	980364	699268
app日活	20190831	mobbaidu	3147454	2219837
app日活	20190821	wangyi_music	731159	445180
app日活	20190813	others	8023809	5572427
app日活	20190813	toutiao	2511159	1758217
app日活	20190814	douyin	3107296	2116762
app日活	20190822	tencent_news	756072	484860
app日活	20190821	tencent_news_lite	14476	8971
app日活	20190807	wangyinews	497538	360825
app日活	20190831	kugou	974648	609184
app日活	20190820	kuaibao	243779	132380
app日活	20190828	others	7949180	5528365
app日活	20190828	toutiao	2425857	1691537
app日活	20190829	douyin	2298879	1553968
app日活	20190822	wangyi_music	711433	431897
app日活	20190814	others	8026085	5578934
app日活	20190814	toutiao	2565763	1796606
app日活	20190815	douyin	3129152	2131348
app日活	20190823	tencent_news	768959	492077
app日活	20190822	tencent_news_lite	14576	8869
app日活	20190808	wangyinews	503633	365757
app日活	20190801	douyin	3181401	2162311
app日活	20190821	kuaibao	236208	128734
